Image,Model,Conf,GT_Count,Pred_Count,TP,FP,FN,Precision,Recall,F1
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv8-FPN,0.7,3,1,1,0,2,1.0,0.3333333333333333,0.5
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv8n,0.25,1,1,1,0,0,1.0,1.0,1.0
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv9c,0.25,1,2,1,1,0,0.5,1.0,0.6666666666666666
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv11,0.25,1,1,0,1,1,0.0,0.0,0.0
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv12n,0.25,1,1,1,0,0,1.0,1.0,1.0
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv8-FPN,0.25,1,2,1,1,0,0.5,1.0,0.6666666666666666
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv8n,0.5,1,1,1,0,0,1.0,1.0,1.0
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv9c,0.5,1,2,1,1,0,0.5,1.0,0.6666666666666666
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv11,0.5,1,0,0,0,1,0.0,0.0,0.0
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv12n,0.5,1,1,1,0,0,1.0,1.0,1.0
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv8-FPN,0.5,1,0,0,0,1,0.0,0.0,0.0
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv8n,0.7,1,1,1,0,0,1.0,1.0,1.0
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv9c,0.7,1,1,1,0,0,1.0,1.0,1.0
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv11,0.7,1,0,0,0,1,0.0,0.0,0.0
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv12n,0.7,1,1,1,0,0,1.0,1.0,1.0
43_jpg.rf.5c442a9970538aa8239f9165d36d5f6d.jpg,YOLOv8-FPN,0.7,1,0,0,0,1,0.0,0.0,0.0
58_jpg.rf.7b79660c986158e87c919b34670da1d5.jpg,YOLOv8n,0.25,2,0,0,0,2,0.0,0.0,0.0
58_jpg.rf.7b79660c986158e87c919b34670da1d5.jpg,YOLOv9c,0.25,2,3,1,2,1,0.3333333333333333,0.5,0.4
58_jpg.rf.7b79660c986158e87c919b34670da1d5.jpg,YOLOv11,0.25,2,1,1,0,1,1.0,0.5,0.6666666666666666
58_jpg.rf.7b79660c986158e87c919b34670da1d5.jpg,YOLOv12n,0.25,2,0,0,0,2,0.0,0.0,0.0
58_jpg.rf.7b79660c986158e87c919b34670da1d5.jpg,YOLOv8-FPN,0.25,2,1,0,1,2,0.0,0.0,0.0
58_jpg.rf.7b79660c986158e87c919b34670da1d5.jpg,YOLOv8n,0.5,2,0,0,0,2,0.0,0.0,0.0
58_jpg.rf.7b79660c986158e87c919b34670da1d5.jpg,YOLOv9c,0.5,2,0,0,0,2,0.0,0.0,0.0
58_jpg.rf.7b79660c986158e87c919b34670da1d5.jpg,YOLOv11,0.5,2,0,0,0,2,0.0,0.0,0.0
58_jpg.rf.7b79660c986158e87c919b34670da1d5.jpg,YOLOv12n,0.5,2,0,0,0,2,0.0,0.0,0.0
